cveId,dateReported,vulnerabilityType,language,fixes,severity,component
CVE-2019-19527,2019-12-03,Elevation of Privilege Vulnerability,c,"[{'commitId': ['6d4472d7bec39917b54e4e80245784ea5d60ce49'], 'patchUrl': 'https://git.kernel.org/pub/scm/linux/kernel/git/torvalds/linux.git/commit/?id=6d4472d7bec39917b54e4e80245784ea5d60ce49'}, {'commitId': ['9c09b214f30e3c11f9b0b03f89442df03643794d'], 'patchUrl': 'https://git.kernel.org/pub/scm/linux/kernel/git/torvalds/linux.git/commit/?id=9c09b214f30e3c11f9b0b03f89442df03643794d'}]",High,Kernel USB
CVE-2020-0414,2020-10-14,Information Disclosure Vulnerability,c,"[{'commitId': '33403f0ef8ec7e6217f4969879fa81101e6b84ee', 'patchUrl': 'https://android.googlesource.com/platform/frameworks/av/+/33403f0ef8ec7e6217f4969879fa81101e6b84ee'}]",High,Media Framework
CVE-2021-0326,2021-02-10,Remote Code Execution Vulnerability,c,"[{'commitId': '0b60cb210510c68871c8d735285bc4915de3bd80', 'patchUrl': 'https://android.googlesource.com/platform/external/wpa_supplicant_8/+/0b60cb210510c68871c8d735285bc4915de3bd80'}]",Critical,System
CVE-2018-9480,,Information Disclosure Vulnerability,c,"[{'commitId': '75c22982624fb530bc1d57aba6c1e46e7881d6ba', 'patchUrl': 'https://android.googlesource.com/platform/system/bt/+/75c22982624fb530bc1d57aba6c1e46e7881d6ba'}]",High,System
CVE-2017-13282,2018-04-04,Remote Code Execution Vulnerability,c,"[{'commitId': '6ecbbc093f4383e90cbbf681cd55da1303a8ef94', 'patchUrl': 'https://android.googlesource.com/platform/system/bt/+/6ecbbc093f4383e90cbbf681cd55da1303a8ef94'}]",Critical,System
CVE-2018-9341,,Remote Code Execution Vulnerability,c,"[{'commitId': '69ac35d37c0fcf43ac3dac6c99dbec5ecb258c41', 'patchUrl': 'https://android.googlesource.com/platform/external/libmpeg2/+/69ac35d37c0fcf43ac3dac6c99dbec5ecb258c41'}]",Critical,Media Framework
CVE-2019-2116,2019-07-08,Information Disclosure Vulnerability,c,"[{'commitId': '3a967720202ba074f747ddfb698a3757e037afb1', 'patchUrl': 'https://android.googlesource.com/platform/system/bt/+/3a967720202ba074f747ddfb698a3757e037afb1'}]",High,System
CVE-2017-0467,2016-11-30,Remote Code Execution Vulnerability,c,"[{'commitId': 'c4f152575bd6d8cc6db1f89806e2ba1fd1bb314f', 'patchUrl': 'https://android.googlesource.com/platform/external/libavc/+/c4f152575bd6d8cc6db1f89806e2ba1fd1bb314f'}, {'commitId': 'fd9a12f9fdd9dd3e66c59dd7037e864b948085f7', 'patchUrl': 'https://android.googlesource.com/platform/external/libavc/+/fd9a12f9fdd9dd3e66c59dd7037e864b948085f7'}]",Critical,Mediaserver
CVE-2018-9438,2018-11-06,Denial of Service Vulnerability,java,"[{'commitId': 'b552ebf70913cc79085bcc4212235ea45e036d3b', 'patchUrl': 'https://android.googlesource.com/platform/packages/providers/DownloadProvider/+/b552ebf70913cc79085bcc4212235ea45e036d3b'}, {'commitId': 'e3854655e75d97552140d77cca5d20c121a17ef9', 'patchUrl': 'https://android.googlesource.com/platform/frameworks/base/+/e3854655e75d97552140d77cca5d20c121a17ef9'}, {'commitId': 'd1ce32b059bed774b41f11413c1d83a1bc412964', 'patchUrl': 'https://android.googlesource.com/platform/frameworks/opt/telephony/+/d1ce32b059bed774b41f11413c1d83a1bc412964'}, {'commitId': '97e1cd61d3040dd366ac9e25cdb6f134c7490846', 'patchUrl': 'https://android.googlesource.com/platform/frameworks/base/+/97e1cd61d3040dd366ac9e25cdb6f134c7490846'}]",High,Framework
CVE-2016-0705,2016-02-07,Elevation of Privilege Vulnerability,c,"[{'commitId': '591be84e89682622957c8f103ca4be3a5ed0f800', 'patchUrl': 'https://android.googlesource.com/platform/external/boringssl/+/591be84e89682622957c8f103ca4be3a5ed0f800'}]",Moderate,OpenSSL & BoringSSL
CVE-2018-9592,2019-02-11,Information Disclosure Vulnerability,c,"[{'commitId': '8679463ade0ee029ef826ed4fb7a847e2a981375', 'patchUrl': 'https://android.googlesource.com/platform/system/bt/+/8679463ade0ee029ef826ed4fb7a847e2a981375'}]",High,System
CVE-2017-0488,2017-03-08,Denial of Service Vulnerability,c,"[{'commitId': '0340381cd8c220311fd4fe2e8b23e1534657e399', 'patchUrl': 'https://android.googlesource.com/platform/external/libavc/+/0340381cd8c220311fd4fe2e8b23e1534657e399'}]",High,Mediaserver
CVE-2020-0443,2020-11-10,Denial of Service Vulnerability,java,"[{'commitId': 'd3a2b5832f6ca9da74cda814ec76aec679b3389a', 'patchUrl': 'https://android.googlesource.com/platform/frameworks/base/+/d3a2b5832f6ca9da74cda814ec76aec679b3389a'}]",High,Framework
CVE-2017-0871,2017-12-06,Elevation of Privilege Vulnerability,java,"[{'commitId': '8e151bf8999345399208d54663f103921ae5e1c6', 'patchUrl': 'https://android.googlesource.com/platform/frameworks/base/+/8e151bf8999345399208d54663f103921ae5e1c6'}]",High,Framework
CVE-2019-2053,2019-05-08,Information Disclosure Vulnerability,c,"[{'commitId': '040d17d5d835cc4653e47b120e40975fc37fce95', 'patchUrl': 'https://android.googlesource.com/platform/external/wpa_supplicant_8/+/040d17d5d835cc4653e47b120e40975fc37fce95'}]",High,System
CVE-2017-0758,2017-09-08,Remote Code Execution Vulnerability,c,"[{'commitId': '4a534a34b14944f3513b7c101fc74ab0ec9eac0d', 'patchUrl': 'https://android.googlesource.com/platform/external/libhevc/+/4a534a34b14944f3513b7c101fc74ab0ec9eac0d'}]",Critical,Media Framework
CVE-2018-9357,2018-11-06,Remote Code Execution Vulnerability,c,"[{'commitId': '9164ee1aaf3609b4771d39302e3af649f44c9e66', 'patchUrl': 'https://android.googlesource.com/platform/system/bt/+/9164ee1aaf3609b4771d39302e3af649f44c9e66'}]",Critical,System
CVE-2019-2229,2019-12-06,Information Disclosure Vulnerability,java,"[{'commitId': 'b5f5b0448861c3f538ef3cfb5a7b031dc476115c', 'patchUrl': 'https://android.googlesource.com/platform/packages/apps/Email/+/b5f5b0448861c3f538ef3cfb5a7b031dc476115c'}, {'commitId': '3daf6f044661425661decaccd2e2a6226d8043be', 'patchUrl': 'https://android.googlesource.com/platform/packages/apps/UnifiedEmail/+/3daf6f044661425661decaccd2e2a6226d8043be'}]",High,System
CVE-2019-9936,2019-03-22,Information Disclosure Vulnerability,java,"[{'commitId': '10b9488de1ac87f8122289c3abbae6fcd193a302', 'patchUrl': 'https://android.googlesource.com/platform/cts/+/10b9488de1ac87f8122289c3abbae6fcd193a302'}, {'commitId': '678cc662682a24c7c8505794fe5cc26407b646b9', 'patchUrl': 'https://android.googlesource.com/platform/external/sqlite/+/678cc662682a24c7c8505794fe5cc26407b646b9'}]",Moderate,Framework
CVE-2018-9584,2019-02-11,Elevation of Privilege Vulnerability,c,"[{'commitId': '5f0f0cc6a10f710dea7e1ddd4ba19acb877a7081', 'patchUrl': 'https://android.googlesource.com/platform/system/nfc/+/5f0f0cc6a10f710dea7e1ddd4ba19acb877a7081'}]",High,System
CVE-2015-3869,2015-08-04,Remote Code Execution Vulnerability,c,"[{'commitId': '450e1015b7939292ca988dd1b4f0303a094478e9', 'patchUrl': 'https://android.googlesource.com/platform%2Fframeworks%2Fav/+/450e1015b7939292ca988dd1b4f0303a094478e9'}]",Critical,libstagefright
CVE-2017-0471,2016-12-21,Remote Code Execution Vulnerability,c,"[{'commitId': '4a61d15e7b0ab979ba7e80db8ddbde025c1ce6cc', 'patchUrl': 'https://android.googlesource.com/platform/external/libavc/+/4a61d15e7b0ab979ba7e80db8ddbde025c1ce6cc'}]",Critical,Mediaserver
CVE-2019-2045,2019-05-08,Remote Code Execution Vulnerability,c,"[{'commitId': '9817e77d44b65abce2aba7f4d6c6372ed09a4a52', 'patchUrl': 'https://android.googlesource.com/platform/external/v8/+/9817e77d44b65abce2aba7f4d6c6372ed09a4a52'}]",Critical,System
CVE-2020-0005,2020-02-13,Elevation of Privilege Vulnerability,c,"[{'commitId': '771571f69ab9498e9104db3c5c367f1def0a5146', 'patchUrl': 'https://android.googlesource.com/platform/system/bt/+/771571f69ab9498e9104db3c5c367f1def0a5146'}]",High,System
CVE-2016-3754,2016-05-05,Denial of Service Vulnerability,c,"[{'commitId': '6fdee2a83432b3b150d6a34f231c4e2f7353c01e', 'patchUrl': 'https://android.googlesource.com/platform/frameworks/av/+/6fdee2a83432b3b150d6a34f231c4e2f7353c01e'}, {'commitId': 'e7142a0703bc93f75e213e96ebc19000022afed9', 'patchUrl': 'https://android.googlesource.com/platform/frameworks/av/+/e7142a0703bc93f75e213e96ebc19000022afed9'}]",High,Mediaserver
CVE-2020-0394,2020-09-17,Elevation of Privilege Vulnerability,java,"[{'commitId': 'f3afef8419de2910b03c3670ca25e63ac3c08407', 'patchUrl': 'https://android.googlesource.com/platform/packages/apps/Settings/+/f3afef8419de2910b03c3670ca25e63ac3c08407'}]",High,System
CVE-2016-2450,2016-03-09,Elevation of Privilege Vulnerability,c,"[{'commitId': '7fd96ebfc4c9da496c59d7c45e1f62be178e626d', 'patchUrl': 'https://android.googlesource.com/platform/frameworks/av/+/7fd96ebfc4c9da496c59d7c45e1f62be178e626d'}]",High,Mediaserver
CVE-2020-0117,2020-06-10,Remote Code Execution Vulnerability,c,"[{'commitId': '1570b62c88d7c5b9c6bfe43da8cc16ea30d3e8df', 'patchUrl': 'https://android.googlesource.com/platform/system/bt/+/1570b62c88d7c5b9c6bfe43da8cc16ea30d3e8df'}]",Critical,System
CVE-2017-0426,2017-02-08,Information Disclosure Vulnerability,unknown,"[{'commitId': 'ae46511bfa62b56938b3df824bb2ee737dceaa7a', 'patchUrl': 'https://android.googlesource.com/platform/system/sepolicy/+/ae46511bfa62b56938b3df824bb2ee737dceaa7a'}, {'commitId': '0e7324e9095a209d4f06ba00812b2b2976fe2846', 'patchUrl': 'https://android.googlesource.com/platform/system/core/+/0e7324e9095a209d4f06ba00812b2b2976fe2846'}]",Moderate,Filesystem
CVE-2018-9479,,Elevation of Privilege Vulnerability,c,"[{'commitId': '68688194eade113ad31687a730e8d4102ada58d5', 'patchUrl': 'https://android.googlesource.com/platform/system/bt/+/68688194eade113ad31687a730e8d4102ada58d5'}]",Critical,System
CVE-2015-2686,2015-03-23,Elevation of Privilege Vulnerability,c,"[{'commitId': ['4de930efc23b92ddf88ce91c405ee645fe6e27ea'], 'patchUrl': 'http://git.kernel.org/cgit/linux/kernel/git/torvalds/linux.git/commit/?id=4de930efc23b92ddf88ce91c405ee645fe6e27ea'}]",Critical,kernel networking component
CVE-2018-9496,2018-10-02,Remote Code Execution Vulnerability,c,"[{'commitId': '04e8cd58f075bec5892e369c8deebca9c67e855c', 'patchUrl': 'https://android.googlesource.com/platform/external/libxaac/+/04e8cd58f075bec5892e369c8deebca9c67e855c'}]",Critical,Media Framework
CVE-2016-3884,2016-06-15,Elevation of Privilege Vulnerability,java,"[{'commitId': '61e9103b5725965568e46657f4781dd8f2e5b623', 'patchUrl': 'https://android.googlesource.com/platform/frameworks/base/+/61e9103b5725965568e46657f4781dd8f2e5b623'}]",Moderate,Notification Manager Service
CVE-2021-0330,2021-02-10,Elevation of Privilege Vulnerability,c,"[{'commitId': '79fc288f10814d5862a2320d0e0732040a4823fe', 'patchUrl': 'https://android.googlesource.com/platform/system/core/+/79fc288f10814d5862a2320d0e0732040a4823fe'}]",High,Framework
CVE-2019-2012,2019-06-19,Elevation of Privilege Vulnerability,c,"[{'commitId': '93610849229c5efed04d92ca71656561f72f0d79', 'patchUrl': 'https://android.googlesource.com/platform/system/nfc/+/93610849229c5efed04d92ca71656561f72f0d79'}]",High,System
CVE-2017-0830,2017-11-16,Elevation of Privilege Vulnerability,java,"[{'commitId': 'd05d2bac845048f84eebad8060d28332b6eda259', 'patchUrl': 'https://android.googlesource.com/platform/frameworks/base/+/d05d2bac845048f84eebad8060d28332b6eda259'}]",High,Framework
CVE-2015-3849,2015-10-01,Elevation of Privilege Vulnerability,c,"[{'commitId': '4cff1f49ff95d990d6c2614da5d5a23d02145885', 'patchUrl': 'https://android.googlesource.com/platform/frameworks/base/+/4cff1f49ff95d990d6c2614da5d5a23d02145885'}, {'commitId': '1e72dc7a3074cd0b44d89afbf39bbf5000ef7cc3', 'patchUrl': 'https://android.googlesource.com/platform/frameworks/base/+/1e72dc7a3074cd0b44d89afbf39bbf5000ef7cc3'}]",High,Region
